"","subj","n","translation"
"1","リフレイン",1,"рефрен"
"2","君",1,"ты"
"3","夢",4,"сон"
"4","孤独",3,"одиночество"
"5","快楽",2,"удовольствие"
"6","日々",4,"дни"
"7","明日",1,"завтра"
"8","時",3,"время"
"9","月日",1,"время"
"10","雲",1,"облако"
"11","毎日",1,"каждый день"
"12","気持ち",1,"чувство"
"13","滅亡",1,"гибель"
"14","羊たち",1,"овцы"
"15","運命",2,"судьба"
"16","雫",1,"капля"
"17","僕",2,"я"
"18","勇者",1,"герой"
"19","命",6,"жизнь"
"20","土曜",1,"суббота"
"21","地",2,"земля"
"22","地球",1,"Земля"
"23","想い",2,"чувство"
"24","想像",1,"воображение"
"25","愛",2,"любовь"
"26","涙",1,"слезы"
"27","痛み",1,"боль"
"28","私",1,"я"
"29","身",1,"тело"
"30","躰",1,"тело"
"31","脳",1,"мозг"
"32","苦しみ",1,"страдания"
"33","衆生",1,"живые существа"
"34","記憶",1,"память"
"35","戦い",1,"война"
