"","subj","n","translation","non_omonym"
"1","なり",1,"становиться","yes"
"2","乗り",1,"ехать (на чем-либо)","yes"
"3","伝え",4,"сообщать","yes"
"4","伸ばし",1,"поднимать","yes"
"5","信じ",2,"верить","yes"
"6","割り",4,"делить","yes"
"7","取り",1,"брать","yes"
"8","堪え",3,"терпеть","yes"
"9","売り",1,"продавать","yes"
"10","待ち",1,"ждать","yes"
"11","抑え",2,"сдерживать","yes"
"12","抱え",1,"держать (на руках)","yes"
"13","押さえ",3,"придавливать","yes"
"14","拭い",1,"вытирать","yes"
"15","拾い",1,"подбирать","yes"
"16","振り",8,"махать","yes"
"17","捨て",1,"выбрасывать","yes"
"18","描き",1,"рисовать","yes"
"19","擦り",19,"тереть","no"
"20","数え",37,"считать","yes"
"21","断ち",8,"перерезать","yes"
"22","死に",2,"умирать","yes"
"23","焼き",7,"жечь","no"
"24","耐え",6,"выносить","yes"
"25","背負い",1,"нести на плечах","yes"
"26","言い",2,"говорить","yes"
"27","踏み",1,"ступать","yes"
"28","追い",2,"гнать","yes"
"29","逃げ",1,"избегать","yes"
"30","遣り",2,"давать","yes"
"31","選び",1,"выбирать","yes"
"32","隠し",7,"прятать","yes"
"33","騙し",1,"обманывать","yes"
