"","subj","n","translation"
"1","カウントダウン",1,"отсчет"
"2","ゲーム",4,"игра"
"3","シンフォニー",1,"симфония"
"4","ストーリー",4,"история"
"5","ディスコ",1,"дискотека"
"6","ビジョン",1,"видение"
"7","フリケンシー",1,"частота"
"8","メール",1,"сообщение"
"9","リズム",1,"ритм"
"10","ループ",1,"цикл"
"11","ワルツ",1,"вальс"
"12","世界",32,"мир"
"13","予感",1,"предчувствие"
"14","光",1,"свет"
"15","冬景色",1,"зимний пейзаж"
"16","命",3,"жизнь"
"17","声",1,"голос"
"18","夏",13,"лето"
"19","夕暮れ",1,"сумерки"
"20","夜",14,"ночь"
"21","夢",11,"сон"
"22","奇跡",1,"чудо"
"23","季節",4,"сезон"
"24","幻想",1,"фантазия"
"25","幻想曲",1,"фантазия (музыка)"
"26","復讐",1,"месть"
"27","恋",4,"любовь"
"28","悪夢",6,"кошмар"
"29","悲しみ",2,"горе"
"30","想い",1,"мысль"
"31","愛",3,"любовь"
"32","感情",2,"эмоции"
"33","戦場",1,"поле боя"
"34","戯曲",4,"драма"
"35","旅",6,"путешествие"
"36","旅路",1,"путешествие"
"37","日々",14,"дни"
"38","明日",4,"завтра"
"39","映画",1,"фильм"
"40","時",1,"время"
"41","時間",2,"время"
"42","晩餐会",1,"банкет"
"43","曲",1,"песня"
"44","朝",1,"утро"
"45","未来",3,"будущее"
"46","歌",1,"песня"
"47","流星群",1,"метеоритный дождь"
"48","涙",1,"слезы"
"49","物語",9,"история"
"50","破滅",1,"гибель"
"51","祈り",2,"молитва"
"52","空",1,"небо"
"53","自分",1,"я сам"
"54","苦しみ",1,"страдания"
"55","街",5,"улицы"
"56","詩",2,"стих"
"57","逃避行",2,"бегство"
"58","過程",1,"процесс"
"59","錯覚",1,"иллюзия"
"60","闇",1,"тьма"
"61","願い",1,"мольба"
"62","魔法",1,"магия"
"63","鼓動",1,"биение сердца"
"64","love",1,"любовь"
"65","Sensation",1,"ощущение"
"66","Sunday",1,"воскресенье"
"67","temptation",1,"искушение"
"68","お祭り",1,"праздник"
"69","きみ",1,"ты"
"70","そろばん",1,"счеты"
"71","アイ",1,"любовь"
"72","イントロ",1,"вступление"
"73","サマーバケーション",1,"летние каникулы"
"74","ページ",1,"страница"
"75","レポート",1,"доклад"
"76","世",1,"мир"
"77","今日",7,"сегодня"
"78","仕事",1,"работа"
"79","僕",1,"я"
"80","僕ら",2,"мы"
"81","勝負",2,"соревнование"
"82","午後",1,"время после полудня"
"83","呪い",3,"проклятие"
"84","夕立",1,"летний ливень"
"85","大地",1,"земля"
"86","宵",1,"ранний вечер"
"87","平日",1,"будний день"
"88","幸せ",1,"счастье"
"89","意味",1,"смысл"
"90","戦い",3,"война"
"91","日",2,"день"
"92","日常",1,"повседневность"
"93","時代",3,"век"
"94","景色",1,"пейзаж"
"95","構築",2,"строительство"
"96","毎日",1,"каждый день"
"97","気持ち",1,"чувство"
"98","痛み",1,"боль"
"99","算数ドリル",1,"упражнения на счет"
"100","航海",2,"мореплавание"
"101","言葉",1,"слово"
"102","記憶",1,"память"
"103","買い物",1,"покупки"
"104","連鎖",1,"цепь"
"105","道",2,"дорога"
"106","静寂",1,"тишина"
