"","subj","n","translation"
"1","僕",2,"я"
"2","力",1,"сила"
"3","勇者",1,"герой"
"4","命",6,"жизнь"
"5","唄",1,"песня"
"6","土曜",1,"суббота"
"7","地",2,"земля"
"8","地球",1,"Земля"
"9","孤独",3,"одиночество"
"10","想い",4,"мысль"
"11","想像",1,"воображение"
"12","愛",3,"любовь"
"13","戦い",1,"война"
"14","旧懐",2,"ностальгия"
"15","時",6,"время"
"16","世界",22,"мир"
"17","雨",1,"дождь"
"18","道",5,"дорога"
"19","海",3,"море"
"20","涙",2,"слезы"
"21","痛み",1,"боль"
"22","私",1,"я"
"23","空",26,"небо"
"24","脳",1,"мозг"
"25","苦しみ",1,"страдания"
"26","衆生",1,"живые существа"
"27","記憶",1,"память"
"28","身",1,"тело"
"29","躰",1,"тело"
"30","雲",2,"облако"
"31","フラクタル",1,"фрактал"
"32","ラビリンス",1,"лабиринт"
"33","リフレイン",1,"рефрен"
"34","可能性",2,"шанс"
"35","君",1,"ты"
"36","夜",1,"ночь"
"37","夢",11,"сон"
"38","大気",1,"атмосфера"
"39","宇宙",2,"космос"
"40","宙",1,"небо"
"41","幸せ",1,"счастье"
"42","底",1,"дно"
"43","彼方",4,"даль"
"44","快楽",2,"удовольствие"
"45","思い",3,"мысль"
"46","詩",1,"время"
"47","愛しさ",1,"любовь"
"48","摩天楼",1,"небоскреб"
"49","旅",2,"путешествие"
"50","旅路",4,"путешествие"
"51","日々",4,"дни"
"52","日常",1,"повседневность"
"53","明日",1,"завтра"
"54","星空",1,"звездное небо"
"55","時代",2,"век"
"56","暗闇",8,"кромешная тьма"
"57","暗黒",1,"тьма"
"58","月日",1,"время"
"59","未来",6,"будущее"
"60","歴史",1,"история"
"61","毎日",1,"каждый день"
"62","気持ち",1,"чувство"
"63","深淵",1,"бездна"
"64","滅亡",1,"гибель"
"65","理想",1,"идеал"
"66","眠り",1,"сон"
"67","砂漠",1,"пустыня"
"68","線路",1,"железная дорога"
"69","羊たち",1,"овцы"
"70","航海",2,"мореплавание"
"71","調べ",1,"игра на инструменте"
"72","迷路",1,"лабиринт"
"73","運命",2,"судьба"
"74","銀河",1,"галактика"
"75","闇",3,"тьма"
"76","闘い",1,"борьба"
"77","陶酔",1,"экстаз"
"78","雪原",1,"снежная равнина"
"79","雫",1,"капля"
"80","Blue sky",2,"синее небо"
