"","subj","cnt"
"1","お金",1
"2","やる気",3
"3","カード",1
"4","テスト",1
"5","バス停",1
"6","バッヂ",1
"7","パーツ",1
"8","ホコリ",1
"9","ルール",1
"10","不安",1
"11","世界",5
"12","争い",6
"13","争い事",1
"14","人",2
"15","人影",1
"16","人波",1
"17","今日",1
"18","仕事",1
"19","学校",3
"20","会社",3
"21","体",2
"22","余裕",1
"23","使命",3
"24","価値",2
"25","便箋",1
"26","保証",1
"27","個性",1
"28","傷",2
"29","僕",7
"30","元気",1
"31","光",4
"32","入場券",1
"33","冷たさ",1
"34","刺激",1
"35","力",2
"36","勇気",1
"37","原発",1
"38","口",1
"39","名",1
"40","名前",2
"41","名札",2
"42","君",9
"43","味",2
"44","命",2
"45","哀しみ",1
"46","国",1
"47","地球",1
"48","場所",2
"49","塩",1
"50","境",1
"51","境界",1
"52","境目",3
"53","声",8
"54","多数",1
"55","少数",1
"56","夢",2
"57","太陽",1
"58","妄想",1
"59","姿",1
"60","字",1
"61","存在",2
"62","存在意義",1
"63","実態",1
"64","居場所",3
"65","帰り道",1
"66","彗星",1
"67","形",2
"68","影",2
"69","心",8
"70","必要",1
"71","思い出",2
"72","恋",1
"73","息",1
"74","悲劇",2
"75","想い",4
"76","想像",1
"77","執念",1
"78","意味",8
"79","意識",1
"80","歌",2
"81","愛",1
"82","愛情",1
"83","感情",5
"84","自我",1
"85","感触",1
"86","憎しみ",2
"87","憐憫",3
"88","手",1
"89","足",2
"90","手がかり",1
"91","日",3
"92","日常",2
"93","明日",5
"94","星",2
"95","昨日",1
"96","時間",8
"97","曖昧さ",1
"98","月",1
"99","未来",2
"100","楽しみ",2
"101","樹",1
"102","欲",1
"103","此処",2
"104","残り香",1
"105","残弾",1
"106","毛糸",2
"107","民主",2
"108","気持ち",1
"109","水",2
"110","永遠",1
"111","涙",2
"112","渇き",1
"113","片足",2
"114","特別",1
"115","犯罪",1
"116","理性",1
"117","痛み",1
"118","真実",2
"119","砂",1
"120","私",7
"121","私らしさ",1
"122","空",1
"123","笑顔",1
"124","答え",2
"125","綿毛",1
"126","背中",1
"127","色",2
"128","芝生",1
"129","悲しみ",2
"130","苦しみ",2
"131","荷物",1
"132","薬",1
"133","蠅",1
"134","行くあて",1
"135","覚悟",1
"136","言い訳",1
"137","言葉",1
"138","記憶",20
"139","記載事項",1
"140","言い回し",3
"141","話",3
"142","諭吉",1
"143","貴方",2
"144","足もと",1
"145","距離",3
"146","跡形",4
"147","輝き",1
"148","返事",1
"149","運命",1
"150","過去",1
"151","道",2
"152","部分",1
"153","酸素",1
"154","重力",1
"155","金平糖",1
"156","銃弾",1
"157","隔たり",1
"158","震え",1
"159","音",6
"160","顔",1
"161","風",3
"162","駄菓子屋",1
"163","鳥達",1
"164","HP",1
"165","ヘジテーション",1
"166","世界音",1
"167","公園",1
"168","口数",1
"169","幻",1
"170","想",1
"171","楽園",2
"172","歯車",1
"173","玩具",1
"174","絵の具",1
