"","subj","n","translation"
"1","読み",1,"читать"
"2","噛み",2,"жевать"
"3","飲み",2,"пить"
"4","歩み",1,"идти"
"5","鳴り",4,"звучать"
"6","振り",1,"проходить"
"7","まばたき",1,"мерцать"
"8","響き",1,"звучать"
"9","嘆き",1,"горевать"
"10","打ち",1,"запускать"
"11","断ち",1,"отрезать"
"12","使い",1,"использовать"
"13","言い",2,"говорить"
"14","食い",1,"есть"
"15","吸い",2,"курить"
"16","歌い",1,"петь"
"17","起動し",1,"запускать"
"18","話し",2,"рассказывать"
"19","満喫し",1,"есть и пить досыта"
"20","果たし",1,"исполнить"
"21","繰り返し",1,"повторять"
