"","subj","n","translation"
"1","ざわめき",1,"шелест"
"2","パルス",1,"пульс"
"3","争い",5,"конфликт"
"4","人間",1,"человечество"
"5","傷",4,"рана"
"6","光",5,"свет"
"7","凱歌",1,"победная песнь"
"8","命",8,"жизнь"
"9","喧嘩",1,"ссора"
"10","嘘",2,"ложь"
"11","囃子",1,"оркестр"
"12","夏休み",2,"летние каникулы"
"13","子守唄",1,"колыбельная"
"14","寝息",1,"сонное дыхание"
"15","希望",1,"надежда"
"16","弱音",1,"хныканье"
"17","心",1,"сердце"
"18","息",44,"дыхание"
"19","悲鳴",1,"вопль"
"20","意識",3,"сознание"
"21","流れ",2,"течение"
"22","溜息",1,"вздох"
"23","灯",1,"свет"
"24","灯火",1,"свет"
"25","祈り",3,"молитва"
"26","笑い",2,"смех"
"27","笑い声",1,"смех"
"28","笑顔",3,"улыбка"
"29","日",1,"день"
"30","色",2,"цвет"
"31","若者",1,"молодой человек"
"32","血",2,"кровь"
"33","袖",1,"рукав"
"34","言葉",2,"слово"
"35","記憶",1,"память"
"36","話",1,"рассказ"
"37","輝き",1,"блеск"
"38","逃げ道",1,"выход"
"40","過ち",1,"ошибка"
"41","閃光",1,"вспышка"
"42","音",4,"звук"
"43","願い事",1,"желание"
"44","風",1,"ветер"
"46","喧騒",1,"шум"
"47","噂",1,"слухи"
"48","声",1,"голос"
"49","孤独",1,"одиночество"
"50","安らぎ",1,"душевное спокойствие"
"51","崩壊",2,"крушение"
"52","当たり",2,"удача"
"53","愛",1,"любовь"
"54","愛情",2,"привязанность"
"55","憶測",2,"догадка"
"56","旋律",1,"мелодия"
"57","日差し",1,"лучи солнца"
"58","気持ち",2,"чувство"
"59","猜疑心",1,"подозрительность"
"60","生き物",1,"живое существо"
"61","真実",1,"правда"
"62","苦しみ",1,"страдание"
"63","閑寂",1,"покой"
"64","電子版",1,"электронная версия"
"65","習慣",1,"обычай"
