"","subj","cnt"
"1","お金",1
"2","たくわえ",1
"3","ちから",1
"4","ともしび",1
"5","やりたい事",1
"6","やる気",1
"7","アドレナリン",3
"8","ジェラシー",1
"9","ストック",1
"10","チカラ",1
"11","ネタ",4
"12","一滴",1
"13","万策",1
"14","不安",1
"15","世界",1
"16","人生相談",1
"17","今日",1
"18","体",1
"19","体力",1
"20","便箋",1
"21","光",3
"22","全力",1
"23","刻",1
"24","力",50
"25","命",77
"26","命運",1
"27","嘘",1
"28","声",3
"29","夜",1
"30","夢",1
"31","天地",1
"32","好奇心",1
"33","孤独",1
"34","寿命",1
"35","小想",1
"36","希望",1
"37","底",2
"38","弾",2
"39","心",1
"40","思い",2
"41","性欲",1
"42","恋",1
"43","悩み",6
"44","悪だくみ",1
"45","悪気",1
"46","悲しみ",2
"47","想い",7
"48","想像",1
"49","愛",2
"50","愛情",1
"51","愛想",17
"52","感情",1
"53","感謝",1
"54","戦",1
"55","戦士",1
"56","手紙",1
"57","日",1
"58","日常",1
"59","時",3
"60","時間",2
"61","期待",1
"62","期限",1
"63","未知",2
"64","材料",1
"65","根",1
"66","欲望",4
"67","涙",6
"68","願い",3
"69","温もり",1
"70","滴",1
"71","火",2
"72","灯火",5
"73","生命",1
"74","疑問",1
"75","矢",1
"76","知りたいこと",3
"77","私",1
"78","種",2
"79","精",1
"80","羽",1
"81","能力",1
"82","興味",4
"83","舟",1
"84","苦しみ",1
"85","血",2
"86","言いたい事",2
"87","言い訳",1
"88","言われたいこと",1
"89","言葉",3
"90","話",1
"91","話す事",1
"92","路",1
"93","身",2
"94","運",9
"95","運命",1
"96","道",2
"97","雫",2
"98","電池",1
"99","風",1
"100","食糧",1
"101","魔法",1
"102","デマカセ",1
"103","ヘイト",1
"104","メモリー",1
"105","ロジック",1
"106","予感",1
"107","優しさ",3
"108","困難",1
"109","夢心地",1
"110","好奇",1
"111","妬み",1
"112","宿命",1
"113","審議",1
"114","山",1
"115","想",1
"116","憎しみ",1
"117","最期",2
"118","欺瞞",1
"119","水",1
"120","深",1
"121","渇き",1
"122","煩悩",1
"123","物",1
"124","犠牲",1
"125","狂おしさ",1
"126","輪光",1
