"","subj","cnt"
"1","ジリジリ",2
"2","ノック",2
"3","シャワー",2
"4","争い",2
"5","五月雨",2
"6","叫び声",2
"7","吐き気",2
"8","呼び声",2
"9","咳",2
"10","哀しみ",2
"11","声",7
"12","夢",2
"13","大雨",3
"14","妄想",2
"15","幻聴",3
"16","幻覚",2
"17","後悔",6
"18","念仏",2
"19","思考",2
"20","恋心",2
"21","愛しさ",2
"22","感傷癖",2
"23","我が儘",2
"24","春雨",4
"25","春風",2
"26","期待",2
"27","歩くの",2
"28","涙",16
"29","眩暈",2
"30","空腹",4
"31","笑い声",2
"32","羨望",2
"33","耳鳴り",17
"34","胸騒ぎ",4
"35","話したいこと",2
"36","説教",2
"37","趣味",12
"38","酸性雨",2
"39","雨",176
"40","雨音",7
"41","雪",9
"42","音",25
"43","頭痛",2
"44","風",2
"45","風化",2
"46","鼓動",8
"47","鼻血",2
"48","tears",6
"49","ためいき",2
"50","カーテンコール",1
"51","クラップ",1
"52","コメ",1
"53","サイレン",1
"54","サヨナラウタ",1
"55","ステップ",1
"56","チャイム",1
"57","ナイトメア",2
"58","ノイズ",1
"59","ビート",3
"60","メロディ",1
"61","ループ",2
"62","ワルツ",1
"63","不安",1
"64","傷",1
"65","喝采",2
"66","喧騒",1
"67","声援",1
"68","夜",1
"69","嵐",1
"70","心拍",1
"71","心臓音",1
"72","悦び",1
"73","想い",2
"74","感情",3
"75","憂い",1
"76","戦い",1
"77","旋律",3
"78","歌声",3
"79","歓声",1
"80","水音",1
"81","流星",1
"82","熱",1
"83","疑い",1
"84","痛み",2
"85","警鐘",1
"86","責任",1
"87","跫音",1
"88","通り雨",1
"89","雑音",1
"90","雨水",1
"91","雨涙",1
"92","雨空",2
"93","電話",2
"94","霧雨",1
