"","subj","n","translation"
"1","こみあげて",1,"переполнять"
"2","たなびいて",1,"реять"
"3","ドクドクさせて",2,"заставлять гудеть"
"4","信じて",3,"верить"
"5","共鳴して",1,"резонировать"
"6","哭り",2,"оплакивать"
"7","啼き",1,"скулить"
"8","尊敬して",2,"уважать"
"9","導いて",1,"вести"
"10","強請って",1,"клянчить"
"11","惹き付け",1,"очаровывать"
"12","愛して",5,"любить"
"13","泣き",15,"плакать"
"14","溢れて",3,"переполнять"
"15","締め付けて",1,"давить"
"16","舞い",1,"плясать"
"17","見過ごして",1,"пропускать мимо себя"
"18","覚め",1,"просыпaться"
"19","醒め",2,"просыпaться"
"20","降り",27,"идти (дождь, снег)"
"21","離れて",1,"отстраняться"
"22","震え",1,"дрожать"
"23","響いて",1,"звучать"
"24","願って",1,"молить"
"25","鳴き",2,"петь, щебетать"
"26","鳴り",140,"раздаваться"
"27","求めて",1,"требовать"
